iter	Passed	Remaining
1330	18902	407145
1331	18917	407160
1332	18930	407111
1333	18943	407073
1334	18958	407080
1335	18971	407043
1336	18987	407070
1337	19000	407016
1338	19014	406990
1339	19026	406942
1340	19037	406865
1341	19051	406846
1342	19066	406843
1343	19078	406778
1344	19093	406774
1345	19109	406812
1346	19126	406844
1347	19136	406744
1348	19149	406705
1349	19161	406651
1350	19174	406608
1351	19191	406658
1352	19203	406593
1353	19217	406577
1354	19230	406539
1355	19244	406518
1356	19259	406522
1357	19274	406522
1358	19289	406521
1359	19301	406475
1360	19317	406480
1361	19333	406504
1362	19347	406498
1363	19365	406553
1364	19377	406506
1365	19389	406430
1366	19400	406361
1367	19415	406362
1368	19431	406394
1369	19445	406360
1370	19455	406265
1371	19469	406242
1372	19482	406209
1373	19494	406159
1374	19507	406115
1375	19519	406043
1376	19531	405986
1377	19541	405887
1378	19555	405879
1379	19569	405844
1380	19582	405817
1381	19595	405787
1382	19607	405712
1383	19622	405725
1384	19639	405763
1385	19653	405738
1386	19667	405737
1387	19682	405724
1388	19694	405679
1389	19709	405672
1390	19725	405706
1391	19738	405656
1392	19749	405571
1393	19762	405537
1394	19776	405514
1395	19788	405461
1396	19805	405506
1397	19823	405566
1398	19837	405563
1399	19847	405465
1400	19859	405405
1401	19874	405405
1402	19887	405367
1403	19899	405306
1404	19913	405291
1405	19926	405237
1406	19939	405207
1407	19952	405180
1408	19964	405104
1409	19977	405072
1410	19990	405035
1411	20003	404999
1412	20015	404951
1413	20027	404886
1414	20043	404900
1415	20059	404925
1416	20073	404916
1417	20088	404916
1418	20103	404923
1419	20115	404851
1420	20127	404810
1421	20143	404818
1422	20154	404750
1423	20171	404788
1424	20184	404756
1425	20199	404760
1426	20215	404785
1427	20232	404818
1428	20246	404806
1429	20266	404901
1430	20283	404950
1431	20306	405110
1432	20321	405121
1433	20334	405070
1434	20347	405028
1435	20386	405515
1436	20426	406006
1437	20455	406297
1438	20484	406562
1439	20504	406669
1440	20546	407211
1441	20564	407260
1442	20582	407325
1443	20605	407490
1444	20639	407870
1445	20669	408155
1446	20717	408802
1447	20748	409120
1448	20769	409235
1449	20795	409460
1450	20810	409445
1451	20845	409846
1452	20859	409829
1453	20894	410223
1454	20941	410839
1455	20978	411272
1456	21009	411579
1457	21038	411855
1458	21074	412260
1459	21096	412387
1460	21115	412474
1461	21129	412439
1462	21143	412428
1463	21204	413306
1464	21258	414066
1465	21291	414419
1466	21334	414944
1467	21360	415168
1468	21381	415271
1469	21417	415674
1470	21433	415693
1471	21451	415744
1472	21471	415824
1473	21493	415954
1474	21525	416274
1475	21553	416517
1476	21571	416571
1477	21583	416512
1478	21607	416679
1479	21628	416793
1480	21654	416982
1481	21672	417047
1482	21700	417278
1483	21719	417360
1484	21745	417548
1485	21772	417779
1486	21811	418230
1487	21837	418429
1488	21856	418505
1489	21868	418439
1490	21882	418406
1491	21907	418596
1492	21935	418837
1493	21954	418892
1494	21978	419055
1495	21991	419017
1496	22017	419209
1497	22036	419286
1498	22054	419332
1499	22082	419570
1500	22099	419595
1501	22124	419785
1502	22148	419940
1503	22174	420143
1504	22200	420330
1505	22210	420237
1506	22224	420208
1507	22237	420152
1508	22251	420123
1509	22263	420052
1510	22278	420046
1511	22293	420035
1512	22307	420010
1513	22323	420010
1514	22336	419969
1515	22353	419994
1516	22367	419971
1517	22380	419923
1518	22395	419917
1519	22406	419833
1520	22421	419826
1521	22439	419870
1522	22485	420439
1523	22507	420554
1524	22526	420620
1525	22542	420620
1526	22561	420699
1527	22588	420897
1528	22607	420975
1529	22627	421052
1530	22644	421066
1531	22673	421332
1532	22697	421478
1533	22719	421606
1534	22737	421638
1535	22767	421919
1536	22790	422039
1537	22832	422530
1538	22846	422511
1539	22885	422931
1540	22910	423108
1541	22925	423088
1542	22939	423064
1543	22952	423007
1544	22964	422952
1545	22980	422953
1546	22995	422943
1547	23015	423029
1548	23026	422935
1549	23041	422916
1550	23053	422848
1551	23066	422797
1552	23078	422734
1553	23089	422660
1554	23100	422575
1555	23115	422561
1556	23132	422580
1557	23146	422548
1558	23164	422588
1559	23178	422570
1560	23194	422560
1561	23211	422583
1562	23225	422554
1563	23238	422521
1564	23253	422502
1565	23265	422434
1566	23279	422396
1567	23289	422293
1568	23308	422359
1569	23321	422318
1570	23334	422258
1571	23351	422295
1572	23371	422365
1573	23389	422405
1574	23405	422410
1575	23453	422992
1576	23465	422931
1577	23525	423722
1578	23551	423908
1579	23568	423940
1580	23587	423985
1581	23619	424287
1582	23652	424590
1583	23671	424649
1584	23689	424690
1585	23709	424774
1586	23736	424964
1587	23749	424918
1588	23764	424909
1589	23786	425021
1590	23801	424997
1591	23825	425142
1592	23841	425144
1593	23857	425158
1594	23883	425336
1595	23908	425491
1596	23920	425437
1597	23938	425467
1598	23953	425449
1599	23964	425365
1600	23975	425286
1601	23988	425233
1602	24002	425199
1603	24019	425227
1604	24031	425162
1605	24048	425175
1606	24063	425161
1607	24076	425116
1608	24091	425099
1609	24109	425131
1610	24120	425050
1611	24136	425052
1612	24151	425031
1613	24166	425020
1614	24179	424972
1615	24197	425006
1616	24211	424984
1617	24226	424973
1618	24245	425025
1619	24258	424973
1620	24271	424929
1621	24285	424887
1622	24301	424889
1623	24315	424857
1624	24332	424888
1625	24344	424823
1626	24357	424774
1627	24369	424694
1628	24380	424620
1629	24397	424638
1630	24414	424664
1631	24431	424675
1632	24443	424611
1633	24460	424633
1634	24474	424605
1635	24490	424604
1636	24503	424545
1637	24515	424479
1638	24527	424420
1639	24541	424384
1640	24554	424342
1641	24567	424291
1642	24582	424270
1643	24595	424220
1644	24609	424188
1645	24620	424107
1646	24631	424031
1647	24648	424043
1648	24662	424021
1649	24672	423918
1650	24692	423995
1651	24708	423985
1652	24722	423954
1653	24737	423940
1654	24749	423883
1655	24761	423808
1656	24774	423763
1657	24788	423741
1658	24804	423732
1659	24815	423661
1660	24832	423672
1661	24844	423620
1662	24857	423562
1663	24870	423519
1664	24883	423467
1665	24896	423415
